,CFNAI,CPI,M2,ISM,bfly,divy,Spread
1998-01-01,0.489545,0.016311166875784044,0.057696830332645055,-0.06239737274220025,-0.120000000000001,1.7290280679999999,-0.03719500740278692
1998-02-01,0.41140299999999996,0.01440200375704448,0.06508536426430345,-0.04878048780487798,-0.07000000000000028,1.663177908,0.04795333792563339
1998-03-01,-0.004367,0.013767209011263937,0.06500181714345055,-0.04020979020979032,-0.3000000000000007,1.6123393360000002,0.0464617157334678
1998-04-01,0.379471,0.014383989993745905,0.0682258689753199,-0.031523642732049106,-0.4499999999999993,1.631600455,0.04293996214077478
1998-05-01,0.419407,0.016885553470919357,0.06911541528410114,-0.0567765567765568,-0.3299999999999992,1.6626134470000002,0.07363386237094649
1998-06-01,-0.6757489999999999,0.01622971285892638,0.07159732922444784,-0.08561020036429867,-0.1800000000000006,1.6620259240000002,0.05390289592160025
1998-07-01,-0.7146680000000001,0.0174563591022443,0.07195807770961138,-0.06329113924050633,-0.22000000000000064,1.8119851779999998,0.007413608831250973
1998-08-01,1.586036,0.016169154228855787,0.06740180581198296,-0.011650485436893177,0.1200000000000001,2.113960162,-0.1146387838311489
1998-09-01,-0.100069,0.014267990074441794,0.07609381706177887,-0.015936254980079778,0.5499999999999989,2.072708948,-0.14967381111375988
1998-10-01,0.396017,0.014860681114551078,0.08225401606425709,-0.07335907335907332,0.33000000000000096,2.032635603,-0.10220440806302311
1998-11-01,0.109703,0.014842300556586308,0.08247860048414069,-0.05108055009823187,0.2699999999999996,1.98406304,-0.049126240782498276
1998-12-01,0.310433,0.01606922126081578,0.08544500534652966,0.006072874493927127,0.4599999999999991,1.936133168,-0.011146736986461514
1999-01-01,0.160153,0.016666666666666607,0.08444301702201251,0.09166666666666656,0.39999999999999947,1.9479059020000002,0.06504095840013424
1999-02-01,0.676666,0.016666666666666607,0.08156722627379964,0.13871635610766053,-0.1800000000000006,2.158717274,0.05853916090492639
1999-03-01,-0.169954,0.01728395061728394,0.07746307219811799,0.12474849094567397,-0.20999999999999996,2.2299626420000003,0.08913373871160268
1999-04-01,0.071916,0.02281134401972884,0.07889198016209042,0.03053435114503822,-0.35000000000000053,1.9752009199999998,0.025911826504336544
1999-05-01,0.751747,0.02091020910209096,0.07725435473005504,0.05090909090909079,-0.5999999999999988,1.876187104,0.020135999782694092
1999-06-01,-0.17416700000000002,0.019656019656019597,0.07841257668711643,0.06261180679785339,-0.6799999999999988,1.776548886,-0.05344729681411098
1999-07-01,0.310128,0.021446078431372584,0.08086324072970075,0.011111111111111072,-0.8199999999999994,1.748217023,-0.08664548035082142
1999-08-01,0.4448,0.022643818849449104,0.07605914131361957,-0.00519031141868509,-0.6300000000000008,1.8332189140000001,-0.1546851630200453
1999-09-01,-0.292284,0.02629969418960254,0.0703141496375197,0.06902356902356899,-0.5900000000000007,1.9379086609999998,-0.2240844279575781
1999-10-01,1.218193,0.0256253813300793,0.0633856715448664,0.12271062271062272,-0.5499999999999998,1.9950848689999998,-0.19732694245800597
1999-11-01,0.535384,0.026203534430225606,0.06155477683511612,0.09739130434782606,-0.589999999999999,1.9617315100000003,-0.35287869179469655
1999-12-01,0.84035,0.02676399026763998,0.06272766844601252,-0.050393700787401574,-0.9000000000000004,1.9924894009999998,-0.08536896179157394
2000-01-01,0.433205,0.02792956891317555,0.06337851691536622,-0.014681892332789492,-1.1099999999999994,2.0296001699999997,-0.04233625720601508
2000-02-01,-0.33944,0.032179720704310855,0.0560923181355355,-0.06973058637083995,-0.7599999999999998,2.043307846,0.13792949074365124
2000-03-01,0.685508,0.03762135922330101,0.06601212559949321,-0.0679933665008291,-0.14000000000000057,2.020343531,-0.016759602611909008
2000-04-01,0.762737,0.03013863773357439,0.06906449008879711,-0.08278145695364236,-0.4900000000000011,1.903822415,0.028659236186317494
2000-05-01,-0.723065,0.031325301204819134,0.059810161920714755,-0.12265758091993195,-0.6799999999999997,1.993238321,-0.029233231880386734
2000-06-01,0.163203,0.03734939759036138,0.05806666666666671,-0.11032028469750899,-0.09000000000000075,1.9543468000000002,0.04459253993955503
2000-07-01,-0.36085700000000004,0.03599280143971195,0.05524423068437523,-0.06137184115523464,0.08000000000000007,1.830573401,-0.056707647982224274
2000-08-01,-0.6602359999999999,0.033512866546977715,0.05951909102919806,-0.029126213592232997,0.629999999999999,1.856289361,0.05515736944696126
2000-09-01,0.437618,0.0345649582836709,0.06199035510740902,-0.02200000000000002,0.5800000000000001,1.902318823,0.04661143645186161
2000-10-01,-0.719504,0.03450327186198687,0.059847328244274633,-0.0692307692307692,0.6700000000000008,1.933084028,0.07361749858400413
2000-11-01,-0.498741,0.03444180522565321,0.05681275246492623,-0.018000000000000016,0.8499999999999996,2.105840273,0.08509168639538078
2000-12-01,-0.430778,0.03436018957345954,0.06156897406600992,-0.13905930470347638,1.08,1.9669755789999996,0.07633160568058517
2001-01-01,-1.188085,0.037212049616065945,0.0652355549842536,-0.20661157024793386,0.1299999999999999,1.8062228539999998,0.021038950868401463
2001-02-01,-0.919739,0.03529411764705892,0.07145305737669805,-0.18737270875763756,0.40000000000000036,1.768836503,-0.04264659551986738
2001-03-01,-1.10352,0.029824561403508643,0.07658843003268134,-0.014251781472684133,-0.05999999999999961,1.838985869,-0.0694588222424879
2001-04-01,-1.476697,0.03218256290228205,0.07769108146656589,0.18489583333333348,-0.9199999999999995,1.744021472,0.015039810127702502
2001-05-01,-0.877353,0.035630841121495394,0.07999494236402316,0.12531328320802015,-1.3599999999999994,1.706921104,0.028583598565431245
