Date,CFNAI
20130426,-0.487765
20130531,0.089509
20130628,-0.166793
20130726,-0.813267
20130830,0.517342
20130927,0.159241
20131025,-0.075495
20131129,0.457052
20131227,-0.164108
20140131,-0.93387
20140228,0.615858
20140328,0.60603
20140425,0.112166
20140530,0.11657
20140627,0.25
20140725,0.329315
20140829,-0.222017
20140926,0.081769
20141031,0.161269
20141128,0.413296
20141226,-0.01314
20150130,-0.311408
20150227,-0.60884
20150327,-0.057426
20150424,-0.007165
20150529,-0.380948
20150626,-0.223065
20150731,0.418504
20150828,-0.41483
20150925,-0.338098
20151030,-0.276303
20151127,-0.554863
20151225,-0.359808
20160129,0.200002
20160226,-0.478853
20160325,-0.467589
20160429,-0.170075
20160527,-0.584959
20160624,0.117633
20160729,0.133985
20160826,-0.410873
20160930,-0.076997
20161028,-0.126087
20161125,-0.204477
20161230,0.575492
20170127,-0.133285
20170224,-0.221185
20170331,0.106475
20170428,0.539664
20170526,-0.228665
20170630,0.145361
20170728,-0.169737
20170825,-0.083572
20170929,0.185563
20171027,0.79431
20171124,0.333034
20171229,0.154055
20180126,-0.292426
20180223,0.738958
20180330,0.313723
20180427,0.526157
20180525,-0.510043
20180629,0.40877
20180727,0.264092
20180831,0.557825
20180928,0.116761
20181026,0.06586
20181130,0.364113
20181228,0.047621
