,CFNAI,CPI,M2,ISM,bfly,divy,Spread,Spread_bool
1998-09-01,-0.7146680000000001,0.0174563591022443,0.07195807770961138,-0.015936254980079778,-0.12000000000000098,1.811985178,-0.14967381111375988,0
1998-10-01,1.586036,0.016169154228855787,0.06740180581198296,-0.07335907335907332,-0.07000000000000027,2.1139601619999997,-0.10220440806302312,0
1998-11-01,-0.100069,0.014267990074441794,0.07609381706177888,-0.05108055009823187,-0.3000000000000007,2.0727089480000003,-0.04912624078249828,0
1998-12-01,0.396017,0.014860681114551078,0.08225401606425709,0.006072874493927127,-0.4499999999999993,2.032635603,-0.011146736986461514,0
1999-01-01,0.109703,0.01484230055658631,0.08247860048414069,0.09166666666666656,-0.3299999999999992,1.98406304,0.06504095840013424,1
1999-02-01,0.310433,0.01606922126081578,0.08544500534652966,0.13871635610766053,-0.1800000000000006,1.936133168,0.05853916090492639,1
1999-03-01,0.160153,0.01666666666666661,0.08444301702201251,0.12474849094567395,-0.22000000000000064,1.947905902,0.08913373871160267,1
1999-04-01,0.676666,0.01666666666666661,0.08156722627379964,0.03053435114503822,0.1200000000000001,2.1587172740000002,0.025911826504336544,1
1999-05-01,-0.169954,0.017283950617283942,0.07746307219811799,0.050909090909090786,0.5499999999999989,2.2299626420000003,0.02013599978269409,1
1999-06-01,0.071916,0.02281134401972884,0.07889198016209042,0.06261180679785339,0.33000000000000096,1.97520092,-0.05344729681411098,0
1999-07-01,0.751747,0.02091020910209096,0.07725435473005504,0.011111111111111072,0.2699999999999996,1.876187104,-0.08664548035082142,0
1999-08-01,-0.17416700000000002,0.0196560196560196,0.07841257668711643,-0.00519031141868509,0.4599999999999991,1.776548886,-0.1546851630200453,0
1999-09-01,0.310128,0.021446078431372584,0.08086324072970075,0.06902356902356899,0.39999999999999947,1.748217023,-0.2240844279575781,0
1999-10-01,0.4448,0.022643818849449104,0.07605914131361957,0.12271062271062272,-0.1800000000000006,1.833218914,-0.197326942458006,0
1999-11-01,-0.292284,0.02629969418960254,0.0703141496375197,0.09739130434782606,-0.21,1.937908661,-0.3528786917946965,0
1999-12-01,1.218193,0.0256253813300793,0.0633856715448664,-0.05039370078740157,-0.3500000000000005,1.995084869,-0.08536896179157394,0
2000-01-01,0.535384,0.02620353443022561,0.06155477683511613,-0.01468189233278949,-0.5999999999999988,1.9617315100000003,-0.04233625720601508,0
2000-02-01,0.84035,0.02676399026763998,0.06272766844601252,-0.06973058637083995,-0.6799999999999988,1.992489401,0.13792949074365124,1
2000-03-01,0.433205,0.02792956891317555,0.06337851691536622,-0.0679933665008291,-0.8199999999999994,2.02960017,-0.016759602611909008,0
2000-04-01,-0.33944,0.03217972070431085,0.0560923181355355,-0.08278145695364236,-0.6300000000000008,2.043307846,0.028659236186317494,1
2000-05-01,0.685508,0.03762135922330101,0.06601212559949321,-0.12265758091993195,-0.5900000000000007,2.020343531,-0.02923323188038673,0
2000-06-01,0.762737,0.030138637733574388,0.06906449008879711,-0.110320284697509,-0.5499999999999998,1.903822415,0.04459253993955503,1
2000-07-01,-0.723065,0.031325301204819134,0.05981016192071476,-0.061371841155234634,-0.5899999999999991,1.993238321,-0.056707647982224274,0
2000-08-01,0.163203,0.037349397590361384,0.05806666666666671,-0.029126213592233,-0.9000000000000004,1.9543468,0.055157369446961264,1
2000-09-01,-0.360857,0.03599280143971195,0.05524423068437523,-0.02200000000000002,-1.1099999999999994,1.8305734009999999,0.04661143645186161,1
2000-10-01,-0.6602359999999999,0.033512866546977715,0.059519091029198064,-0.0692307692307692,-0.7599999999999998,1.856289361,0.07361749858400413,1
2000-11-01,0.437618,0.0345649582836709,0.06199035510740902,-0.018000000000000016,-0.14000000000000054,1.902318823,0.08509168639538077,1
2000-12-01,-0.719504,0.034503271861986866,0.05984732824427464,-0.13905930470347638,-0.4900000000000011,1.9330840280000001,0.07633160568058517,1
2001-01-01,-0.498741,0.03444180522565321,0.056812752464926224,-0.20661157024793386,-0.6799999999999997,2.105840273,0.021038950868401463,1
2001-02-01,-0.430778,0.034360189573459536,0.061568974066009925,-0.1873727087576376,-0.09000000000000075,1.966975579,-0.04264659551986738,0
2001-03-01,-1.188085,0.037212049616065945,0.0652355549842536,-0.014251781472684131,0.08000000000000007,1.806222854,-0.0694588222424879,0
2001-04-01,-0.919739,0.03529411764705892,0.07145305737669805,0.18489583333333348,0.629999999999999,1.7688365030000002,0.015039810127702504,1
2001-05-01,-1.10352,0.029824561403508643,0.07658843003268134,0.12531328320802015,0.5800000000000001,1.838985869,0.028583598565431245,1
2001-06-01,-1.476697,0.03218256290228205,0.07769108146656589,0.15180722891566267,0.6700000000000008,1.7440214719999998,0.08347595663615559,1
2001-07-01,-0.877353,0.035630841121495394,0.07999494236402316,0.08131868131868147,0.8499999999999996,1.706921104,0.007196972101170206,1
2001-08-01,-1.533615,0.03193960511033689,0.0841996933610567,0.20935412026726066,1.08,1.633252481,-0.020056487659447453,0
2001-09-01,-0.912839,0.027214823393167498,0.08601296257578928,0.07322175732217584,0.1299999999999999,1.6298102730000001,-0.12510469448217565,0
2001-10-01,-0.958144,0.027214823393167498,0.08737036806118438,-0.20934959349593507,0.4000000000000004,1.6728935650000003,0.0047553703910092615,1
2001-11-01,-1.556957,0.025921658986175045,0.10532942536327616,-0.09576427255985263,-0.05999999999999961,1.8839706999999999,0.015992379065374433,1
2001-12-01,-1.068525,0.021276595744680767,0.09480594312055013,0.0019493177387914786,-0.9199999999999996,1.8594856430000002,0.04995215513821494,1
